Symptoms,Species,Disease
My cat has patches with no fur on its skin.,Cat,cat_ringworm
Sores are flaky cat’s on back.. ring-shaped visible my,Cat,cat_ringworm
"Cat's appeared scaly my paws. red, on ears lesions and",Cat,cat_ringworm
My has with cat skin persistent loss. patchy hair irritation,Cat,cat_ringworm
The cat has round hairless spots on its skin..,Cat,cat_ringworm
The cat has constant itching with patchy hair loss.,Cat,cat_ringworm
Flaky visible ring-shaped sores on cat’s back.. are my,Cat,cat_ringworm
My cat has persistent skin irritation with patchy hair loss..,Cat,cat_ringworm
The cat has round hairless spots on its skin.,Cat,cat_ringworm
"Red, scaly lesions appeared on my cat's ears and paws.",Cat,cat_ringworm
Flaky ring-shaped sores are visible on my cat’s back..,Cat,cat_ringworm
My cat has constant itching with patchy hair loss..,Cat,cat_ringworm
"Red, on and my lesions paws.. cat's scaly appeared ears",Cat,cat_ringworm
My cat has constant itching with patchy hair loss.,Cat,cat_ringworm
Skin loss. cat persistent irritation the with hair patchy has,Cat,cat_ringworm
My cat has round hairless spots on its skin.,Cat,cat_ringworm
My cat has patches with no fur on its skin..,Cat,cat_ringworm
The cat has bald ring-shaped areas on its skin..,Cat,cat_ringworm
My has loss. cat hair with patchy itching constant,Cat,cat_ringworm
The fur patches cat its on has skin. no with,Cat,cat_ringworm
The cat has persistent skin irritation with patchy hair loss.,Cat,cat_ringworm
With cat patchy my hair skin persistent loss. has irritation,Cat,cat_ringworm
On visible my are ring-shaped flaky sores cat’s back..,Cat,cat_ringworm
My its on skin.. round cat has spots hairless,Cat,cat_ringworm
The cat has constant itching with patchy hair loss..,Cat,cat_ringworm
On the hairless has skin. spots cat its round,Cat,cat_ringworm
Hair has patchy itching my with constant cat loss.,Cat,cat_ringworm
Ring-shaped on cat’s my flaky back. are sores visible,Cat,cat_ringworm
"Paws. and ears red, lesions on scaly appeared my cat's",Cat,cat_ringworm
Patches skin. fur on cat no has my with its,Cat,cat_ringworm
"Red, scaly lesions appeared on my cat's ears and paws..",Cat,cat_ringworm
Back. cat’s sores visible ring-shaped on are my flaky,Cat,cat_ringworm
My cat has bald ring-shaped areas on its skin.,Cat,cat_ringworm
My cat has frequent scratching with patchy hair loss..,Cat,cat_ringworm
Patchy loss.. itching has cat hair with constant the,Cat,cat_ringworm
Back. sores are my cat’s on ring-shaped visible flaky,Cat,cat_ringworm
Scratching has hair cat the loss.. with patchy frequent,Cat,cat_ringworm
The cat has bald ring-shaped areas on its skin.,Cat,cat_ringworm
Flaky ring-shaped sores are visible on my cat’s back.,Cat,cat_ringworm
The cat has frequent scratching with patchy hair loss.,Cat,cat_ringworm
"And scaly appeared red, cat's ears on lesions paws. my",Cat,cat_ringworm
My cat has frequent scratching with patchy hair loss.,Cat,cat_ringworm
My cat has persistent skin irritation with patchy hair loss.,Cat,cat_ringworm
The cat has patches with no fur on its skin..,Cat,cat_ringworm
"Red, scaly paws. ears lesions cat's my appeared on and",Cat,cat_ringworm
The cat has persistent skin irritation with patchy hair loss..,Cat,cat_ringworm
Fur has with no skin. on the its patches cat,Cat,cat_ringworm
With patchy irritation loss. persistent cat hair the has skin,Cat,cat_ringworm
Back. sores my visible are ring-shaped cat’s flaky on,Cat,cat_ringworm
The cat has patches with no fur on its skin.,Cat,cat_ringworm
Tiny bumps and hair shedding around the cat's face and neck..,Cat,cat_scabies
My seems skin its uncomfortable.. and cat rubbing keeps,Cat,cat_scabies
Tiny bumps and hair shedding around the cat's face and neck.,Cat,cat_scabies
Tiny bumps and missing patches of fur around the cat's face and neck..,Cat,cat_scabies
Tiny bumps and fur falling off around the cat's face and neck..,Cat,cat_scabies
Tiny bumps and missing patches of fur around the cat's face and neck.,Cat,cat_scabies
And skin the uncomfortable. cat rubbing its keeps seems,Cat,cat_scabies
"Red, inflamed areas are showing up on my cat's body..",Cat,cat_scabies
My on severe crusty skin patches and irritation skin. cat's,Cat,cat_scabies
"Are on cat's body. inflamed showing red, my areas up",Cat,cat_scabies
"Areas are on body. my red, showing cat's inflamed up",Cat,cat_scabies
Cat's on scratching my persistent crusty severe and skin.. patches,Cat,cat_scabies
My cat and its skin rubbing uncomfortable. seems keeps,Cat,cat_scabies
"Up areas red, are cat's showing body. my inflamed on",Cat,cat_scabies
The cat keeps rubbing its skin and seems uncomfortable..,Cat,cat_scabies
"Red, inflamed showing cat's body.. on areas are my up",Cat,cat_scabies
Severe skin.. cat's and crusty on skin irritation patches my,Cat,cat_scabies
Skin.. patches and on scratching persistent severe my cat's crusty,Cat,cat_scabies
Hair cat's and around bumps neck. face shedding the and tiny,Cat,cat_scabies
"On red, cat's areas up my are inflamed showing body.",Cat,cat_scabies
Crusty patches and severe persistent scratching on my cat's skin.,Cat,cat_scabies
On skin.. severe discomfort crusty constant cat's my and patches,Cat,cat_scabies
"Up body. on red, are inflamed my cat's areas showing",Cat,cat_scabies
The cat keeps rubbing its skin and seems uncomfortable.,Cat,cat_scabies
Tiny cat's and neck.. the face around and shedding bumps hair,Cat,cat_scabies
Skin its rubbing uncomfortable. the cat seems and keeps,Cat,cat_scabies
And cat uncomfortable.. skin seems keeps rubbing the its,Cat,cat_scabies
Seems and my skin rubbing uncomfortable. keeps cat its,Cat,cat_scabies
Fur of bumps and face missing the neck. cat's tiny and around patches,Cat,cat_scabies
Shedding tiny hair bumps around cat's neck. face the and and,Cat,cat_scabies
My cat keeps rubbing its skin and seems uncomfortable.,Cat,cat_scabies
Rubbing its seems skin and cat uncomfortable. the keeps,Cat,cat_scabies
Crusty patches and severe constant discomfort on my cat's skin.,Cat,cat_scabies
"On cat's areas are showing body. inflamed my red, up",Cat,cat_scabies
Discomfort constant skin.. and crusty cat's severe my on patches,Cat,cat_scabies
Patches of and the and tiny neck. around bumps missing face fur cat's,Cat,cat_scabies
Bumps and cat's the hair and neck. tiny face around shedding,Cat,cat_scabies
My cat keeps rubbing its skin and seems uncomfortable..,Cat,cat_scabies
"Body. are cat's my areas inflamed up on showing red,",Cat,cat_scabies
Crusty patches and severe skin irritation on my cat's skin..,Cat,cat_scabies
Crusty patches and severe skin irritation on my cat's skin.,Cat,cat_scabies
Keeps seems and skin uncomfortable. the rubbing cat its,Cat,cat_scabies
And skin cat my seems keeps its rubbing uncomfortable..,Cat,cat_scabies
And the its seems rubbing skin keeps cat uncomfortable.,Cat,cat_scabies
Tiny bumps and fur falling off around the cat's face and neck.,Cat,cat_scabies
"Red, inflamed areas are showing up on my cat's body.",Cat,cat_scabies
Face the and around of missing and cat's bumps patches fur neck. tiny,Cat,cat_scabies
Fur face bumps neck.. cat's around off the and falling and tiny,Cat,cat_scabies
Cat uncomfortable. and seems the rubbing keeps skin its,Cat,cat_scabies
Crusty patches and severe persistent scratching on my cat's skin..,Cat,cat_scabies
Patches near swelling belly. and appear the flaky,Cat,dermatitis
"Red, itchy skin is making my cat restless.",Cat,dermatitis
Cat scratches licks and the particular spot. a constantly,Cat,dermatitis
"Red, is making itchy my skin cat restless.",Cat,dermatitis
"Making red, restless. cat is itchy skin my",Cat,dermatitis
Small bumps are visible on the legs and tail area..,Cat,dermatitis
"Is skin making cat my itchy restless. red,",Cat,dermatitis
Small bumps are visible on the legs and tail area.,Cat,dermatitis
"Itchy my making is skin red, restless. cat",Cat,dermatitis
The cat constantly licks and scratches a particular spot.,Cat,dermatitis
Constantly cat a scratches the licks and spot. particular,Cat,dermatitis
Constantly the licks scratches a and cat particular spot..,Cat,dermatitis
"Red, restless. is making cat skin itchy my",Cat,dermatitis
"Cat red, restless. skin my itchy making is",Cat,dermatitis
Flaky the appear near and belly. patches swelling,Cat,dermatitis
The cat constantly licks and scratches a particular spot..,Cat,dermatitis
Flaky patches and swelling appear near the belly..,Cat,dermatitis
"Red, making restless. my is itchy skin cat",Cat,dermatitis
"Is skin restless. red, my itchy cat making",Cat,dermatitis
"Red, itchy skin is making my cat restless..",Cat,dermatitis
And appear belly. flaky near the swelling patches,Cat,dermatitis
"Is restless.. making skin cat itchy my red,",Cat,dermatitis
Legs on area. bumps small and visible the are tail,Cat,dermatitis
And the belly. swelling flaky appear patches near,Cat,dermatitis
And patches swelling belly. appear flaky near the,Cat,dermatitis
Patches and appear the swelling flaky belly. near,Cat,dermatitis
"Skin my itchy red, is cat making restless..",Cat,dermatitis
"Red, skin cat my itchy making is restless.",Cat,dermatitis
"Itchy my restless. making skin cat is red,",Cat,dermatitis
And swelling near belly.. appear patches the flaky,Cat,dermatitis
"Red, itchy making skin restless. my cat is",Cat,dermatitis
"Skin my itchy red, cat is restless. making",Cat,dermatitis
Belly. flaky near patches swelling and appear the,Cat,dermatitis
Visible on tail are small legs bumps area. and the,Cat,dermatitis
The near patches and appear flaky swelling belly.,Cat,dermatitis
Scratches a particular cat and constantly licks the spot.,Cat,dermatitis
On and the tail bumps are area.. visible small legs,Cat,dermatitis
Small bumps on the visible are tail area.. legs and,Cat,dermatitis
Constantly scratches licks spot.. and a the particular cat,Cat,dermatitis
Patches swelling and flaky near belly. appear the,Cat,dermatitis
Bumps tail area. visible are and small on legs the,Cat,dermatitis
"My is restless. cat red, skin itchy making",Cat,dermatitis
Patches and near the swelling belly. appear flaky,Cat,dermatitis
Swelling flaky near patches and appear the belly.,Cat,dermatitis
Flaky patches and swelling appear near the belly.,Cat,dermatitis
On and small bumps tail legs are the area. visible,Cat,dermatitis
A constantly licks and particular spot. scratches the cat,Cat,dermatitis
Are the and on area. bumps legs visible tail small,Cat,dermatitis
A the and licks cat particular constantly spot. scratches,Cat,dermatitis
A the spot. cat particular constantly scratches licks and,Cat,dermatitis
With perfectly cat's health. seems fine everything my,Cat,fine
Cat and the has active is symptoms. no visible,Cat,fine
Seems fine perfectly everything with my health. cat's,Cat,fine
Fine perfectly my health. everything with seems cat's,Cat,fine
No signs of irritation or abnormal behavior in my cat.,Cat,fine
"Healthy coat, clear eyes, and normal activity in the cat..",Cat,fine
"Healthy coat, clear eyes, and normal activity in the cat.",Cat,fine
My of irritation no in abnormal behavior cat.. signs or,Cat,fine
No of behavior irritation cat. or abnormal in signs my,Cat,fine
My behavior signs cat. no or irritation abnormal of in,Cat,fine
Cat visible symptoms.. has active the no and is,Cat,fine
Or cat.. behavior no my irritation of signs in abnormal,Cat,fine
Fine health. seems everything my with perfectly cat's,Cat,fine
The cat is active and has no visible symptoms..,Cat,fine
My cat. abnormal signs in of irritation behavior or no,Cat,fine
Cat is visible active and no symptoms. my has,Cat,fine
My health.. perfectly cat's fine everything with seems,Cat,fine
Cat. in signs my behavior of or irritation abnormal no,Cat,fine
Cat's seems health. fine my with perfectly everything,Cat,fine
Visible cat my has is active symptoms.. and no,Cat,fine
"Coat, healthy the cat. clear normal eyes, in activity and",Cat,fine
"Cat. healthy in normal clear coat, and the activity eyes,",Cat,fine
Everything seems perfectly fine with my cat's health.,Cat,fine
The cat is active and has no visible symptoms.,Cat,fine
No visible active is has and cat symptoms. my,Cat,fine
Visible the cat no symptoms. active is has and,Cat,fine
In of abnormal my irritation or signs cat. no behavior,Cat,fine
No symptoms. active visible cat is and the has,Cat,fine
"The activity coat, in clear eyes, healthy and cat. normal",Cat,fine
"The normal clear coat, healthy eyes, in activity cat.. and",Cat,fine
My with fine cat's perfectly everything seems health.,Cat,fine
My cat is active and has no visible symptoms..,Cat,fine
No behavior signs irritation of my cat.. abnormal in or,Cat,fine
And has cat is my symptoms. visible no active,Cat,fine
"Clear and eyes, activity the in coat, normal cat. healthy",Cat,fine
My in behavior irritation signs no cat.. or abnormal of,Cat,fine
In of irritation behavior cat. or abnormal no my signs,Cat,fine
Cat.. irritation behavior of my abnormal in no signs or,Cat,fine
No signs of irritation or abnormal behavior in my cat..,Cat,fine
"Cat. in and activity coat, clear the healthy eyes, normal",Cat,fine
My irritation of no abnormal cat. in signs or behavior,Cat,fine
Everything fine with perfectly cat's seems health.. my,Cat,fine
Everything seems perfectly fine with my cat's health..,Cat,fine
My cat is active and has no visible symptoms.,Cat,fine
"Healthy coat, the clear cat. in normal and eyes, activity",Cat,fine
"Activity eyes, healthy and in cat. normal clear the coat,",Cat,fine
"And normal coat, cat. clear healthy the in activity eyes,",Cat,fine
Or my abnormal no signs cat. in behavior of irritation,Cat,fine
Perfectly fine with health. cat's my seems everything,Cat,fine
"Cat. eyes, healthy normal in and coat, the activity clear",Cat,fine
"Lower spots mostly the red, cat. back itchy my of on",Cat,flea_allergy
The cat bites and licks its paws all the time..,Cat,flea_allergy
In specks scratching noticed. tiny black fur; intense,Cat,flea_allergy
My cat bites and licks its paws all the time.,Cat,flea_allergy
Cat's the and forming scabs base neck tail. of on,Cat,flea_allergy
Paws time. cat the bites its licks and my all,Cat,flea_allergy
Tail. cat's base scabs of forming and the neck on,Cat,flea_allergy
On forming and scabs of base tail. cat's neck the,Cat,flea_allergy
Tiny black specks in fur; intense scratching noticed.,Cat,flea_allergy
Licks cat time.. bites paws the the all and its,Cat,flea_allergy
"Spots back lower the red, mostly on cat. my of itchy",Cat,flea_allergy
Cat its the paws all bites time. my and licks,Cat,flea_allergy
Time. licks all and the paws my cat its bites,Cat,flea_allergy
Noticed. intense tiny in specks scratching fur; black,Cat,flea_allergy
On forming scabs base and the neck of tail.. cat's,Cat,flea_allergy
Fur; scratching intense specks in black tiny noticed.,Cat,flea_allergy
"On cat.. red, itchy back mostly lower the my spots of",Cat,flea_allergy
Its time. all bites cat paws the licks my and,Cat,flea_allergy
"Red, itchy spots mostly on the lower back of my cat..",Cat,flea_allergy
Specks noticed.. black tiny intense in fur; scratching,Cat,flea_allergy
"Spots the cat. itchy of red, my lower on back mostly",Cat,flea_allergy
Tail.. of and the neck scabs forming base on cat's,Cat,flea_allergy
Scabs forming on the cat's neck and base of tail..,Cat,flea_allergy
"Cat. red, spots of on itchy mostly back my lower the",Cat,flea_allergy
And all bites the paws licks cat its the time.,Cat,flea_allergy
"Cat.. lower of itchy the my spots mostly red, back on",Cat,flea_allergy
In specks black fur; scratching intense noticed. tiny,Cat,flea_allergy
Scabs forming on the cat's neck and base of tail.,Cat,flea_allergy
In fur; intense tiny noticed.. black scratching specks,Cat,flea_allergy
"My itchy of spots cat. on lower mostly back the red,",Cat,flea_allergy
Scratching intense noticed. specks fur; in black tiny,Cat,flea_allergy
The cat bites and licks its paws all the time.,Cat,flea_allergy
In noticed. intense specks scratching black tiny fur;,Cat,flea_allergy
On tail. scabs forming neck the base of cat's and,Cat,flea_allergy
Paws cat my licks and the bites all its time.,Cat,flea_allergy
Licks paws my all cat bites its and time.. the,Cat,flea_allergy
Licks my cat bites all the its paws time. and,Cat,flea_allergy
Of neck the and tail. on forming cat's base scabs,Cat,flea_allergy
Cat's on base and neck the scabs forming of tail..,Cat,flea_allergy
Tiny black specks in fur; intense scratching noticed..,Cat,flea_allergy
Black intense in specks scratching tiny fur; noticed.,Cat,flea_allergy
"Red, itchy spots mostly on the lower back of my cat.",Cat,flea_allergy
Time. cat its and paws all licks the bites the,Cat,flea_allergy
Intense fur; in tiny noticed. scratching specks black,Cat,flea_allergy
Intense specks tiny in fur; black scratching noticed.,Cat,flea_allergy
And paws bites my cat all time. the its licks,Cat,flea_allergy
Cat the time. all bites its paws my licks and,Cat,flea_allergy
"Mostly my red, spots back lower cat. the on itchy of",Cat,flea_allergy
Neck scabs the of base and tail. forming on cat's,Cat,flea_allergy
My cat bites and licks its paws all the time..,Cat,flea_allergy
Dog has loss around hair areas. the patchy infected,Dog,Dog_Ringworm
The dog’s skin looks irritated and dry in ring patterns.,Dog,Dog_Ringworm
"Edges spots my red, bald with on scaly circular dog.",Dog,Dog_Ringworm
"On bald edges circular dog. scaly my red, with spots",Dog,Dog_Ringworm
In skin dog’s my looks ring irritated and dry patterns..,Dog,Dog_Ringworm
Looks irritated ring skin in patterns. dog’s dry the and,Dog,Dog_Ringworm
Areas. hair infected around has dog patchy the loss,Dog,Dog_Ringworm
My dog has patchy hair loss around infected areas.,Dog,Dog_Ringworm
Looks dry my and patterns. dog’s ring irritated in skin,Dog,Dog_Ringworm
Crusty round lesions appeared on the belly and back..,Dog,Dog_Ringworm
"On bald scaly with red, my edges spots circular dog.",Dog,Dog_Ringworm
Crusty round lesions appeared on the belly and back.,Dog,Dog_Ringworm
Back.. on and round lesions the crusty belly appeared,Dog,Dog_Ringworm
Skin looks ring in irritated the and dog’s patterns. dry,Dog,Dog_Ringworm
"Dog. edges circular scaly bald with my on red, spots",Dog,Dog_Ringworm
In looks irritated dry skin my ring and patterns. dog’s,Dog,Dog_Ringworm
Crusty back.. on the lesions and belly round appeared,Dog,Dog_Ringworm
The dog has patchy hair loss around infected areas..,Dog,Dog_Ringworm
Dry and patterns. ring in skin irritated the looks dog’s,Dog,Dog_Ringworm
"Circular bald spots with red, scaly edges on my dog..",Dog,Dog_Ringworm
Back. appeared on lesions belly the round crusty and,Dog,Dog_Ringworm
Appeared belly round on back. and crusty lesions the,Dog,Dog_Ringworm
The lesions belly round back.. appeared crusty on and,Dog,Dog_Ringworm
Dog hair has infected the patchy areas. loss around,Dog,Dog_Ringworm
Infected around patchy loss areas. has dog hair the,Dog,Dog_Ringworm
My dog’s skin looks irritated and dry in ring patterns..,Dog,Dog_Ringworm
Has areas.. hair my infected loss dog around patchy,Dog,Dog_Ringworm
On the crusty round back.. belly lesions appeared and,Dog,Dog_Ringworm
Areas. around hair patchy infected dog loss has my,Dog,Dog_Ringworm
Appeared crusty on and lesions belly back.. the round,Dog,Dog_Ringworm
"Edges bald dog. circular my spots red, scaly on with",Dog,Dog_Ringworm
My dog has patchy hair loss around infected areas..,Dog,Dog_Ringworm
Dry ring skin in and the dog’s irritated looks patterns.,Dog,Dog_Ringworm
On appeared round lesions back. belly crusty and the,Dog,Dog_Ringworm
The dog’s skin looks irritated and dry in ring patterns..,Dog,Dog_Ringworm
"Circular bald spots with red, scaly edges on my dog.",Dog,Dog_Ringworm
Around hair my infected dog patchy areas. loss has,Dog,Dog_Ringworm
Patchy the has hair infected areas.. around loss dog,Dog,Dog_Ringworm
"My dog. on with bald spots scaly edges circular red,",Dog,Dog_Ringworm
Around has areas. hair infected loss patchy dog my,Dog,Dog_Ringworm
Dog loss infected around hair my has areas. patchy,Dog,Dog_Ringworm
Patterns. ring looks my skin and in dry irritated dog’s,Dog,Dog_Ringworm
"On scaly bald circular with dog. edges spots my red,",Dog,Dog_Ringworm
"Spots dog. with on red, my bald edges scaly circular",Dog,Dog_Ringworm
Lesions back.. the on appeared round belly and crusty,Dog,Dog_Ringworm
"My spots red, edges dog. on with bald scaly circular",Dog,Dog_Ringworm
The dog has patchy hair loss around infected areas.,Dog,Dog_Ringworm
Irritated the dog’s skin dry in looks ring patterns. and,Dog,Dog_Ringworm
My dog’s skin looks irritated and dry in ring patterns.,Dog,Dog_Ringworm
Dog’s looks dry irritated and skin ring patterns. in my,Dog,Dog_Ringworm
Intense skin irritation and scaly patches on my dog’s elbows.,Dog,Dog_Scabies
My dog's patches crust and of ears. on missing formation fur,Dog,Dog_Scabies
Formation falling fur dog's off on and my crust ears.,Dog,Dog_Scabies
"With dog.. discomfort skin severe in dry, flaky my",Dog,Dog_Scabies
And elbows.. on my dog’s intense scaly scratching persistent patches,Dog,Dog_Scabies
Off my on fur falling dog's ears. and formation crust,Dog,Dog_Scabies
"Dry, flaky skin with severe discomfort in my dog..",Dog,Dog_Scabies
The bumps. dog red continuously and scratches has,Dog,Dog_Scabies
My bumps. scratches red and dog continuously has,Dog,Dog_Scabies
Intense skin my patches on dog’s and scaly irritation elbows.,Dog,Dog_Scabies
My intense and elbows. scratching persistent dog’s patches scaly on,Dog,Dog_Scabies
On crust dog's ears.. hair formation my shedding and,Dog,Dog_Scabies
Ears.. my crust formation shedding hair dog's and on,Dog,Dog_Scabies
Crust formation and missing patches of fur on my dog's ears.,Dog,Dog_Scabies
Intense elbows. my scaly persistent patches on scratching and dog’s,Dog,Dog_Scabies
Dog continuously red and bumps. the scratches has,Dog,Dog_Scabies
On dog’s and scaly scratching persistent my intense patches elbows.,Dog,Dog_Scabies
Intense constant discomfort and scaly patches on my dog’s elbows..,Dog,Dog_Scabies
Crust formation and hair shedding on my dog's ears.,Dog,Dog_Scabies
Has continuously scratches dog and red bumps. the,Dog,Dog_Scabies
And scratching persistent scaly intense my dog’s on elbows.. patches,Dog,Dog_Scabies
And dog scratches has bumps.. continuously red the,Dog,Dog_Scabies
Intense skin elbows.. my and dog’s on irritation patches scaly,Dog,Dog_Scabies
My dog scratches continuously and has red bumps..,Dog,Dog_Scabies
"Dog.. in discomfort severe skin my flaky with dry,",Dog,Dog_Scabies
Crust formation and missing patches of fur on my dog's ears..,Dog,Dog_Scabies
Crust formation and fur falling off on my dog's ears.,Dog,Dog_Scabies
Intense skin irritation and scaly patches on my dog’s elbows..,Dog,Dog_Scabies
Of on ears. missing crust dog's and my patches fur formation,Dog,Dog_Scabies
"Severe in dry, flaky skin with dog. discomfort my",Dog,Dog_Scabies
My dog scratches continuously and has red bumps.,Dog,Dog_Scabies
The dog scratches continuously and has red bumps..,Dog,Dog_Scabies
"Dry, flaky skin with severe discomfort in my dog.",Dog,Dog_Scabies
The dog scratches continuously and has red bumps.,Dog,Dog_Scabies
Crust formation and hair shedding on my dog's ears..,Dog,Dog_Scabies
Falling and off crust fur on ears.. my dog's formation,Dog,Dog_Scabies
And my dog has bumps. continuously scratches red,Dog,Dog_Scabies
My and formation ears. fur patches crust on dog's missing of,Dog,Dog_Scabies
Scaly dog’s my intense irritation on patches skin and elbows.,Dog,Dog_Scabies
Ears. my and on dog's shedding crust hair formation,Dog,Dog_Scabies
Discomfort scaly intense patches on my constant and elbows. dog’s,Dog,Dog_Scabies
Intense persistent scratching and scaly patches on my dog’s elbows..,Dog,Dog_Scabies
Hair crust dog's shedding ears. on and my formation,Dog,Dog_Scabies
"Flaky in with severe my discomfort skin dog. dry,",Dog,Dog_Scabies
Intense scaly elbows. scratching persistent my patches and dog’s on,Dog,Dog_Scabies
Crust formation and fur falling off on my dog's ears..,Dog,Dog_Scabies
Intense persistent scratching and scaly patches on my dog’s elbows.,Dog,Dog_Scabies
Fur ears. on patches of my crust and dog's formation missing,Dog,Dog_Scabies
Intense constant discomfort and scaly patches on my dog’s elbows.,Dog,Dog_Scabies
"My with in severe discomfort dry, flaky skin dog..",Dog,Dog_Scabies
"Everything problems no at looks fine, all.",Dog,Healthy_Dog
Dog no issues—my eating well.. and is energetic,Dog,Healthy_Dog
Normally acting has skin. and dog is clear the,Dog,Healthy_Dog
My dog is acting normally and has clear skin.,Dog,Healthy_Dog
No issues—my dog is energetic and eating well.,Dog,Healthy_Dog
Is no eating energetic and dog well. issues—my,Dog,Healthy_Dog
"Or itchiness seen.. healthy no fur, redness",Dog,Healthy_Dog
"Looks all.. at no everything problems fine,",Dog,Healthy_Dog
"Itchiness healthy seen. redness or no fur,",Dog,Healthy_Dog
"Healthy fur, no redness or itchiness seen.",Dog,Healthy_Dog
The clear skin.. is and normally acting has dog,Dog,Healthy_Dog
"At everything no all.. looks fine, problems",Dog,Healthy_Dog
"Everything looks fine, no problems at all.",Dog,Healthy_Dog
Eating dog is no and issues—my well. energetic,Dog,Healthy_Dog
The dog is acting normally and has clear skin..,Dog,Healthy_Dog
The has acting is skin.. dog clear normally and,Dog,Healthy_Dog
Acting normally the is and clear dog has skin..,Dog,Healthy_Dog
"Or healthy redness seen. fur, itchiness no",Dog,Healthy_Dog
"Everything looks fine, no problems at all..",Dog,Healthy_Dog
No dog issues—my is well.. and energetic eating,Dog,Healthy_Dog
Skin. normally is the dog clear acting and has,Dog,Healthy_Dog
Dog and eating is issues—my no energetic well.,Dog,Healthy_Dog
"Redness fur, no or seen. healthy itchiness",Dog,Healthy_Dog
No is dog energetic well. issues—my and eating,Dog,Healthy_Dog
Well. and is dog no eating issues—my energetic,Dog,Healthy_Dog
"Everything problems at looks fine, no all.",Dog,Healthy_Dog
And acting normally dog is skin. my clear has,Dog,Healthy_Dog
The dog is acting normally and has clear skin.,Dog,Healthy_Dog
My dog is acting normally and has clear skin..,Dog,Healthy_Dog
"Fur, seen. healthy redness no itchiness or",Dog,Healthy_Dog
"Or fur, redness itchiness seen. healthy no",Dog,Healthy_Dog
Eating well. issues—my energetic no is dog and,Dog,Healthy_Dog
"Healthy seen. or redness itchiness fur, no",Dog,Healthy_Dog
Skin. the and has is clear acting normally dog,Dog,Healthy_Dog
"No seen.. fur, redness itchiness or healthy",Dog,Healthy_Dog
Has dog is normally and skin. clear acting the,Dog,Healthy_Dog
Dog issues—my eating energetic no is and well.,Dog,Healthy_Dog
Acting is dog and clear my normally skin. has,Dog,Healthy_Dog
No energetic well. is and issues—my eating dog,Dog,Healthy_Dog
"Seen. redness itchiness no fur, healthy or",Dog,Healthy_Dog
Issues—my well.. is no eating dog energetic and,Dog,Healthy_Dog
No and eating dog energetic is well.. issues—my,Dog,Healthy_Dog
"Seen. or redness no itchiness healthy fur,",Dog,Healthy_Dog
My and acting has dog normally clear is skin.,Dog,Healthy_Dog
"Itchiness healthy seen.. or no fur, redness",Dog,Healthy_Dog
No issues—my dog is energetic and eating well..,Dog,Healthy_Dog
"Healthy fur, no redness or itchiness seen..",Dog,Healthy_Dog
"Problems looks at all. fine, everything no",Dog,Healthy_Dog
"Everything all. looks no fine, at problems",Dog,Healthy_Dog
"No looks fine, everything all. problems at",Dog,Healthy_Dog
"Red, licking keeps the dog a spot. inflamed",Dog,Hotspot
"Spot.. the dog a red, keeps licking inflamed",Dog,Hotspot
"Leg. area on swollen, the infected visible dog’s",Dog,Hotspot
Back.. with wound loss the hair on oozing,Dog,Hotspot
"The dog’s leg. infected swollen, visible area on",Dog,Hotspot
"On developed neck. painful moist, sores my dog's",Dog,Hotspot
"Neck. dog's painful developed moist, sores on my",Dog,Hotspot
"My dog keeps licking a red, inflamed spot..",Dog,Hotspot
"Neck. sores developed moist, painful on my dog's",Dog,Hotspot
"On the dog’s leg.. area swollen, visible infected",Dog,Hotspot
Oozing wound with hair loss on the back..,Dog,Hotspot
"Swollen, infected area visible on the dog’s leg..",Dog,Hotspot
"Spot.. licking dog red, inflamed the keeps a",Dog,Hotspot
Oozing the wound back.. with loss hair on,Dog,Hotspot
"Dog's sores moist, on neck. my developed painful",Dog,Hotspot
"Painful dog's neck. moist, my sores developed on",Dog,Hotspot
"Moist, dog's sores painful my developed neck.. on",Dog,Hotspot
"Dog a licking my keeps red, inflamed spot.",Dog,Hotspot
"Keeps inflamed red, a licking dog spot. my",Dog,Hotspot
On with back.. oozing hair the loss wound,Dog,Hotspot
"Inflamed licking keeps red, spot. dog my a",Dog,Hotspot
Loss on the oozing wound back. with hair,Dog,Hotspot
"Swollen, dog’s visible area infected the on leg.",Dog,Hotspot
Loss with hair back. on wound oozing the,Dog,Hotspot
With the loss hair on oozing wound back..,Dog,Hotspot
"Moist, painful sores developed on my dog's neck.",Dog,Hotspot
"Swollen, dog’s area leg. the visible on infected",Dog,Hotspot
On oozing the with wound loss back. hair,Dog,Hotspot
"Red, licking spot.. dog keeps a my inflamed",Dog,Hotspot
