Symptoms,Species,Disease
"Inflamed dog spot. licking my keeps red, a",Dog,Hotspot
"My dog keeps licking a red, inflamed spot.",Dog,Hotspot
Hair wound oozing the on back.. with loss,Dog,Hotspot
"Red, spot.. dog inflamed licking the a keeps",Dog,Hotspot
Back.. loss on with oozing the hair wound,Dog,Hotspot
Oozing wound with hair loss on the back.,Dog,Hotspot
"Red, licking keeps dog the a spot. inflamed",Dog,Hotspot
"Moist, painful sores developed on my dog's neck..",Dog,Hotspot
The back. wound on loss hair with oozing,Dog,Hotspot
"Moist, neck. sores painful my on developed dog's",Dog,Hotspot
"Neck. dog's on moist, sores developed my painful",Dog,Hotspot
"Keeps a my licking red, dog inflamed spot.",Dog,Hotspot
"Licking my inflamed keeps a dog red, spot.",Dog,Hotspot
"Licking red, keeps inflamed my dog a spot.",Dog,Hotspot
"On moist, my developed sores painful neck.. dog's",Dog,Hotspot
"The dog keeps licking a red, inflamed spot..",Dog,Hotspot
"Swollen, infected area visible on the dog’s leg.",Dog,Hotspot
"My moist, neck. painful on sores dog's developed",Dog,Hotspot
"Inflamed dog a licking the keeps spot. red,",Dog,Hotspot
"The dog keeps licking a red, inflamed spot.",Dog,Hotspot
"Dog keeps a inflamed the red, licking spot.",Dog,Hotspot
Wounds open the on red fish. lesions and,Fish,Aeromoniasis Bacterial diseases
Bloody not eating has is streaks. fish and,Fish,Aeromoniasis Bacterial diseases
"On erratic body, sores with red fish swimming..",Fish,Aeromoniasis Bacterial diseases
Bloody fish streaks. eating and not has is,Fish,Aeromoniasis Bacterial diseases
"Looks sluggish.. fish ulcers near bleeding fins,",Fish,Aeromoniasis Bacterial diseases
"Body, sores fish swimming.. red with on erratic",Fish,Aeromoniasis Bacterial diseases
"Red sores on fish body, with erratic swimming.",Fish,Aeromoniasis Bacterial diseases
Streaks.. bloody has eating fish not is and,Fish,Aeromoniasis Bacterial diseases
"Bleeding ulcers near fins, fish looks sluggish.",Fish,Aeromoniasis Bacterial diseases
"Fish looks near ulcers bleeding sluggish. fins,",Fish,Aeromoniasis Bacterial diseases
Eating bloody not and is has fish streaks.,Fish,Aeromoniasis Bacterial diseases
"Sores body, with red on erratic swimming.. fish",Fish,Aeromoniasis Bacterial diseases
"Fins, sluggish.. looks fish near bleeding ulcers",Fish,Aeromoniasis Bacterial diseases
And eating not bloody is has streaks. fish,Fish,Aeromoniasis Bacterial diseases
"Fish swimming. on erratic with sores body, red",Fish,Aeromoniasis Bacterial diseases
Open lesions the wounds on fish. and red,Fish,Aeromoniasis Bacterial diseases
"Erratic swimming.. body, with fish on sores red",Fish,Aeromoniasis Bacterial diseases
"Red sores on fish body, with erratic swimming..",Fish,Aeromoniasis Bacterial diseases
Wounds on the and red lesions fish. open,Fish,Aeromoniasis Bacterial diseases
Is bloody streaks.. and eating fish has not,Fish,Aeromoniasis Bacterial diseases
"On fish body, swimming. sores with erratic red",Fish,Aeromoniasis Bacterial diseases
"With red sores fish body, erratic swimming.. on",Fish,Aeromoniasis Bacterial diseases
"Near looks fish sluggish. bleeding fins, ulcers",Fish,Aeromoniasis Bacterial diseases
"Fish with red swimming. erratic sores on body,",Fish,Aeromoniasis Bacterial diseases
"On red sores fish swimming. with body, erratic",Fish,Aeromoniasis Bacterial diseases
Wounds on fish.. and open lesions the red,Fish,Aeromoniasis Bacterial diseases
Has not eating bloody streaks. fish is and,Fish,Aeromoniasis Bacterial diseases
On wounds the open red and fish. lesions,Fish,Aeromoniasis Bacterial diseases
Open wounds and red lesions on the fish..,Fish,Aeromoniasis Bacterial diseases
"Near looks fins, bleeding fish sluggish. ulcers",Fish,Aeromoniasis Bacterial diseases
"Looks ulcers fish fins, sluggish. near bleeding",Fish,Aeromoniasis Bacterial diseases
And fish has streaks. is bloody eating not,Fish,Aeromoniasis Bacterial diseases
On the red open lesions wounds and fish.,Fish,Aeromoniasis Bacterial diseases
Fish is not eating and has bloody streaks..,Fish,Aeromoniasis Bacterial diseases
Is and not eating has streaks.. bloody fish,Fish,Aeromoniasis Bacterial diseases
"Ulcers bleeding fins, sluggish. looks fish near",Fish,Aeromoniasis Bacterial diseases
Open wounds and red lesions on the fish.,Fish,Aeromoniasis Bacterial diseases
On wounds fish. the open red lesions and,Fish,Aeromoniasis Bacterial diseases
The on fish. open lesions red and wounds,Fish,Aeromoniasis Bacterial diseases
"Looks bleeding fins, near fish ulcers sluggish.",Fish,Aeromoniasis Bacterial diseases
"Sluggish.. looks near bleeding fins, ulcers fish",Fish,Aeromoniasis Bacterial diseases
"Bleeding fins, fish near sluggish. looks ulcers",Fish,Aeromoniasis Bacterial diseases
"Sores body, red with on swimming.. erratic fish",Fish,Aeromoniasis Bacterial diseases
"Bleeding ulcers near fins, fish looks sluggish..",Fish,Aeromoniasis Bacterial diseases
"Near looks sluggish. fins, ulcers fish bleeding",Fish,Aeromoniasis Bacterial diseases
Not fish has streaks. is bloody and eating,Fish,Aeromoniasis Bacterial diseases
Red the fish. lesions and wounds open on,Fish,Aeromoniasis Bacterial diseases
And the fish. open red wounds on lesions,Fish,Aeromoniasis Bacterial diseases
Has and fish not bloody is streaks.. eating,Fish,Aeromoniasis Bacterial diseases
Fish is not eating and has bloody streaks.,Fish,Aeromoniasis Bacterial diseases
Gill covers inflamed and look reddish.,Fish,Bacterial disease gill
Fish. gills and rapid swollen noticed breathing in,Fish,Bacterial disease gill
Surface and has mucus gasping at the buildup. fish is,Fish,Bacterial disease gill
Rapid breathing fish. swollen noticed in gills and,Fish,Bacterial disease gill
In rapid gills breathing swollen fish. noticed and,Fish,Bacterial disease gill
Swollen fish. noticed breathing rapid gills and in,Fish,Bacterial disease gill
Mucus at surface has is buildup. the and fish gasping,Fish,Bacterial disease gill
Has fish is buildup. and the mucus at surface gasping,Fish,Bacterial disease gill
Lethargic fish.. in pale behavior gills and,Fish,Bacterial disease gill
Fish. behavior pale lethargic gills and in,Fish,Bacterial disease gill
Behavior fish. and pale in gills lethargic,Fish,Bacterial disease gill
And pale in gills behavior fish. lethargic,Fish,Bacterial disease gill
Swollen gills and rapid breathing noticed in fish.,Fish,Bacterial disease gill
And the mucus gasping at is surface buildup. has fish,Fish,Bacterial disease gill
Pale and behavior gills lethargic fish. in,Fish,Bacterial disease gill
At buildup.. has fish surface the mucus is gasping and,Fish,Bacterial disease gill
Has fish gasping and buildup. the mucus surface is at,Fish,Bacterial disease gill
Breathing and gills swollen rapid noticed in fish..,Fish,Bacterial disease gill
In and lethargic pale behavior fish. gills,Fish,Bacterial disease gill
The mucus buildup. surface fish gasping has and at is,Fish,Bacterial disease gill
Fish is gasping at the surface and has mucus buildup..,Fish,Bacterial disease gill
Fish. in and rapid breathing swollen noticed gills,Fish,Bacterial disease gill
Is and gasping surface buildup. fish has the at mucus,Fish,Bacterial disease gill
Lethargic behavior and pale gills in fish..,Fish,Bacterial disease gill
And pale gills behavior fish. in lethargic,Fish,Bacterial disease gill
Pale fish. in and gills behavior lethargic,Fish,Bacterial disease gill
Gill covers inflamed and look reddish..,Fish,Bacterial disease gill
The gasping fish surface at is mucus and buildup.. has,Fish,Bacterial disease gill
Swollen rapid noticed gills in breathing fish. and,Fish,Bacterial disease gill
Lethargic fish.. gills in behavior and pale,Fish,Bacterial disease gill
Has gasping and the at surface is buildup. mucus fish,Fish,Bacterial disease gill
Swollen gills and rapid breathing noticed in fish..,Fish,Bacterial disease gill
Behavior gills in lethargic fish. and pale,Fish,Bacterial disease gill
And fish. lethargic in behavior pale gills,Fish,Bacterial disease gill
Lethargic behavior and pale gills in fish.,Fish,Bacterial disease gill
Rapid breathing in fish. gills noticed and swollen,Fish,Bacterial disease gill
Is and the mucus surface at has gasping fish buildup.,Fish,Bacterial disease gill
Gills and noticed rapid in swollen fish. breathing,Fish,Bacterial disease gill
Behavior and fish. lethargic gills in pale,Fish,Bacterial disease gill
Breathing in swollen noticed rapid fish. and gills,Fish,Bacterial disease gill
Pale in behavior gills lethargic and fish..,Fish,Bacterial disease gill
Breathing gills and fish. rapid swollen in noticed,Fish,Bacterial disease gill
Fish is gasping at the surface and has mucus buildup.,Fish,Bacterial disease gill
Gills breathing and swollen in noticed rapid fish.,Fish,Bacterial disease gill
Buildup. mucus and has is the at gasping surface fish,Fish,Bacterial disease gill
Gills and fish. noticed breathing in rapid swollen,Fish,Bacterial disease gill
Rapid gills and swollen noticed fish. in breathing,Fish,Bacterial disease gill
Breathing and noticed in gills rapid fish.. swollen,Fish,Bacterial disease gill
And behavior lethargic gills pale fish. in,Fish,Bacterial disease gill
Fish. pale behavior in gills and lethargic,Fish,Bacterial disease gill
Bright and on fins body.. blotches fish red,Fish,Bacterial Red disease
Red fins fish and bright on blotches body.,Fish,Bacterial Red disease
Fish body. on red and fins bright blotches,Fish,Bacterial Red disease
And appears against sick.. rubbing surfaces is fish tank,Fish,Bacterial Red disease
"Fish and seems gills, near stressed. mouth redness",Fish,Bacterial Red disease
"Redness near mouth and gills, fish seems stressed.",Fish,Bacterial Red disease
"Seems redness fish gills, near stressed. and mouth",Fish,Bacterial Red disease
"Redness seems stressed. fish and mouth near gills,",Fish,Bacterial Red disease
Bright red blotches on fish fins and body.,Fish,Bacterial Red disease
"Near gills, redness stressed. fish seems and mouth",Fish,Bacterial Red disease
Tail. red forming the near wounds ulcers and,Fish,Bacterial Red disease
Ulcers near red wounds tail.. forming the and,Fish,Bacterial Red disease
Fish sick.. surfaces is rubbing appears against tank and,Fish,Bacterial Red disease
Sick.. tank surfaces against is rubbing and fish appears,Fish,Bacterial Red disease
Near tail. forming red wounds the ulcers and,Fish,Bacterial Red disease
Surfaces is tank against appears sick. fish rubbing and,Fish,Bacterial Red disease
Wounds red the tail.. and near forming ulcers,Fish,Bacterial Red disease
"Gills, fish redness near and mouth seems stressed.",Fish,Bacterial Red disease
Ulcers and red wounds forming near the tail.,Fish,Bacterial Red disease
Fish is rubbing against tank surfaces and appears sick.,Fish,Bacterial Red disease
Against is surfaces appears fish tank rubbing and sick.,Fish,Bacterial Red disease
"Near fish and seems gills, redness mouth stressed.",Fish,Bacterial Red disease
Ulcers forming near wounds and red tail. the,Fish,Bacterial Red disease
Red forming near tail. ulcers wounds and the,Fish,Bacterial Red disease
Red and forming tail. wounds near ulcers the,Fish,Bacterial Red disease
Fish is rubbing against tank surfaces and appears sick..,Fish,Bacterial Red disease
Tail.. and the forming red ulcers near wounds,Fish,Bacterial Red disease
Ulcers and red wounds forming near the tail..,Fish,Bacterial Red disease
"Fish near stressed. redness mouth gills, seems and",Fish,Bacterial Red disease
Bright body. red blotches and fins on fish,Fish,Bacterial Red disease
Against surfaces rubbing sick. and is fish tank appears,Fish,Bacterial Red disease
"Redness seems near fish stressed.. mouth gills, and",Fish,Bacterial Red disease
"Fish seems near gills, redness stressed.. and mouth",Fish,Bacterial Red disease
And forming tail.. wounds near the ulcers red,Fish,Bacterial Red disease
Bright fins red and fish body.. blotches on,Fish,Bacterial Red disease
"Near mouth redness seems gills, stressed.. and fish",Fish,Bacterial Red disease
Blotches fish on and fins bright body.. red,Fish,Bacterial Red disease
Sick.. tank appears and surfaces is rubbing against fish,Fish,Bacterial Red disease
Bright red blotches on fish fins and body..,Fish,Bacterial Red disease
"Mouth fish gills, seems and near redness stressed.",Fish,Bacterial Red disease
"Seems and redness fish stressed.. near gills, mouth",Fish,Bacterial Red disease
Tank rubbing fish appears sick.. against surfaces is and,Fish,Bacterial Red disease
Appears against rubbing is and fish surfaces tank sick..,Fish,Bacterial Red disease
Wounds the near and ulcers forming tail. red,Fish,Bacterial Red disease
"Seems and mouth near fish stressed. gills, redness",Fish,Bacterial Red disease
"Redness near mouth and gills, fish seems stressed..",Fish,Bacterial Red disease
And near wounds the forming red ulcers tail.,Fish,Bacterial Red disease
Near forming tail.. red ulcers the wounds and,Fish,Bacterial Red disease
"Mouth and near gills, seems redness fish stressed.",Fish,Bacterial Red disease
Forming the ulcers and near red tail. wounds,Fish,Bacterial Red disease
Body. fins cotton-like and on growths the white,Fish,Fungal Saprolegniasis diseases
Seen mold growth body. fish’s fluffy on,Fish,Fungal Saprolegniasis diseases
On body.. growths fins the cotton-like white and,Fish,Fungal Saprolegniasis diseases
White cotton-like growths on the fins and body.,Fish,Fungal Saprolegniasis diseases
Spreading white scales.. fish spots across milky fuzzy,Fish,Fungal Saprolegniasis diseases
Is and fish bottom staying near the fungus. visible has,Fish,Fungal Saprolegniasis diseases
And body. growths on white cotton-like the fins,Fish,Fungal Saprolegniasis diseases
Growth mold fluffy fish’s body.. on seen,Fish,Fungal Saprolegniasis diseases
Fish is staying near the bottom and has visible fungus.,Fish,Fungal Saprolegniasis diseases
Fluffy fish’s seen growth on body.. mold,Fish,Fungal Saprolegniasis diseases
White on growths fins the cotton-like and body.,Fish,Fungal Saprolegniasis diseases
Fish’s body. mold growth on fluffy seen,Fish,Fungal Saprolegniasis diseases
On fluffy seen body. fish’s mold growth,Fish,Fungal Saprolegniasis diseases
And fungus.. near visible the has bottom fish is staying,Fish,Fungal Saprolegniasis diseases
Fuzzy milky white spots spreading across fish scales..,Fish,Fungal Saprolegniasis diseases
Fish skin faded scales. spreading across fuzzy patches,Fish,Fungal Saprolegniasis diseases
Fluffy mold growth seen on fish’s body..,Fish,Fungal Saprolegniasis diseases
Fuzzy faded skin patches spreading across fish scales.,Fish,Fungal Saprolegniasis diseases
Across spots scales. milky white fuzzy spreading fish,Fish,Fungal Saprolegniasis diseases
Fish’s mold seen on growth body. fluffy,Fish,Fungal Saprolegniasis diseases
Spots fish scales.. milky spreading fuzzy across white,Fish,Fungal Saprolegniasis diseases
Areas pale scales.. fuzzy fish spreading across discolored,Fish,Fungal Saprolegniasis diseases
The near fish and bottom has fungus. staying visible is,Fish,Fungal Saprolegniasis diseases
Scales. white spreading milky fish across spots fuzzy,Fish,Fungal Saprolegniasis diseases
Scales.. fish faded spreading across patches skin fuzzy,Fish,Fungal Saprolegniasis diseases
Across spreading areas scales.. pale fuzzy discolored fish,Fish,Fungal Saprolegniasis diseases
Staying the near fungus. is bottom fish has and visible,Fish,Fungal Saprolegniasis diseases
Spreading skin fuzzy fish scales. patches across faded,Fish,Fungal Saprolegniasis diseases
The body.. on growths cotton-like fins and white,Fish,Fungal Saprolegniasis diseases
Pale across spreading fish fuzzy scales. areas discolored,Fish,Fungal Saprolegniasis diseases
Is the near bottom and has visible fungus. fish staying,Fish,Fungal Saprolegniasis diseases
Milky scales.. spreading across spots fuzzy white fish,Fish,Fungal Saprolegniasis diseases
Staying bottom visible near fish the and fungus. is has,Fish,Fungal Saprolegniasis diseases
Fuzzy pale discolored areas spreading across fish scales..,Fish,Fungal Saprolegniasis diseases
The bottom is staying and fungus.. visible near fish has,Fish,Fungal Saprolegniasis diseases
Body.. fish’s seen growth on mold fluffy,Fish,Fungal Saprolegniasis diseases
Faded patches scales. skin across fuzzy spreading fish,Fish,Fungal Saprolegniasis diseases
Seen on mold fish’s body. fluffy growth,Fish,Fungal Saprolegniasis diseases
The on fins white cotton-like and body.. growths,Fish,Fungal Saprolegniasis diseases
Fuzzy pale discolored areas spreading across fish scales.,Fish,Fungal Saprolegniasis diseases
Fluffy mold growth seen on fish’s body.,Fish,Fungal Saprolegniasis diseases
Fuzzy milky white spots spreading across fish scales.,Fish,Fungal Saprolegniasis diseases
Staying and the fungus.. bottom visible near has fish is,Fish,Fungal Saprolegniasis diseases
On body. growths white the and cotton-like fins,Fish,Fungal Saprolegniasis diseases
Skin faded scales. patches fish across fuzzy spreading,Fish,Fungal Saprolegniasis diseases
Fish is staying near the bottom and has visible fungus..,Fish,Fungal Saprolegniasis diseases
Mold growth body. seen on fluffy fish’s,Fish,Fungal Saprolegniasis diseases
Body. on growth mold fish’s seen fluffy,Fish,Fungal Saprolegniasis diseases
Bottom and near has staying fungus.. fish is visible the,Fish,Fungal Saprolegniasis diseases
White cotton-like growths on the fins and body..,Fish,Fungal Saprolegniasis diseases
Signs with fish swimming illness. of is no actively visible,Fish,Healthy Fish
"Eyes, clear behavior. scales, normal smooth and feeding",Fish,Healthy Fish
Is fish swimming no actively with of illness.. signs visible,Fish,Healthy Fish
Healthy. spots; very or fish no appears lesions,Fish,Healthy Fish
"Clear smooth behavior.. feeding scales, and eyes, normal",Fish,Healthy Fish
Appears no very spots; healthy. fish or lesions,Fish,Healthy Fish
Seems in no everything fine; symptoms unusual fish.,Fish,Healthy Fish
Fine; symptoms no seems in unusual everything fish.,Fish,Healthy Fish
"Smooth normal and scales, eyes, behavior.. clear feeding",Fish,Healthy Fish
Illness.. actively swimming with fish of is visible no signs,Fish,Healthy Fish
Healthy. very spots; lesions no appears fish or,Fish,Healthy Fish
In unusual symptoms everything no fish. fine; seems,Fish,Healthy Fish
"Scales, behavior. and normal smooth feeding eyes, clear",Fish,Healthy Fish
Spots; lesions very appears no fish healthy.. or,Fish,Healthy Fish
Very no fish or appears lesions spots; healthy.,Fish,Healthy Fish
Fish is swimming actively with no visible signs of illness.,Fish,Healthy Fish
No fish lesions spots; or healthy. very appears,Fish,Healthy Fish
Fish illness. no of visible actively swimming signs is with,Fish,Healthy Fish
Everything seems fine; no unusual symptoms in fish..,Fish,Healthy Fish
With illness. actively swimming visible is no fish signs of,Fish,Healthy Fish
Illness.. of no signs visible fish actively is swimming with,Fish,Healthy Fish
Fish is signs illness.. actively visible swimming of with no,Fish,Healthy Fish
Fish is swimming actively with no visible signs of illness..,Fish,Healthy Fish
No lesions or spots; fish appears very healthy..,Fish,Healthy Fish
Fish healthy. appears lesions spots; no very or,Fish,Healthy Fish
"Behavior.. feeding smooth and scales, eyes, normal clear",Fish,Healthy Fish
Fine; unusual no everything in symptoms fish. seems,Fish,Healthy Fish
Fish. symptoms fine; in no unusual seems everything,Fish,Healthy Fish
"Scales, clear smooth behavior. and normal feeding eyes,",Fish,Healthy Fish
Lesions spots; fish appears or no healthy. very,Fish,Healthy Fish
Illness.. signs no is of fish visible swimming actively with,Fish,Healthy Fish
"Clear eyes, smooth scales, and normal feeding behavior.",Fish,Healthy Fish
Very or appears healthy. spots; lesions fish no,Fish,Healthy Fish
Fish swimming of with illness.. actively is no visible signs,Fish,Healthy Fish
"Clear behavior. smooth feeding scales, normal and eyes,",Fish,Healthy Fish
"Clear eyes, smooth scales, and normal feeding behavior..",Fish,Healthy Fish
Illness. signs of swimming with visible is fish no actively,Fish,Healthy Fish
Spots; appears fish or no healthy.. lesions very,Fish,Healthy Fish
No lesions or spots; fish appears very healthy.,Fish,Healthy Fish
Visible no with of swimming is fish illness. signs actively,Fish,Healthy Fish
"Smooth eyes, clear and feeding scales, normal behavior.",Fish,Healthy Fish
"Scales, normal behavior. feeding and smooth eyes, clear",Fish,Healthy Fish
With is illness.. fish of visible swimming actively signs no,Fish,Healthy Fish
Seems in symptoms fine; unusual everything fish. no,Fish,Healthy Fish
Or very fish appears spots; no healthy.. lesions,Fish,Healthy Fish
"Behavior. normal smooth and feeding clear scales, eyes,",Fish,Healthy Fish
Everything seems fine; no unusual symptoms in fish.,Fish,Healthy Fish
Fish.. everything no symptoms seems unusual fine; in,Fish,Healthy Fish
"Eyes, and normal clear smooth scales, behavior.. feeding",Fish,Healthy Fish
Swimming of signs actively no with fish is illness. visible,Fish,Healthy Fish
Irritated its and flicks frequently. appears body fish,Fish,Parasitic diseases
Mucus seen on parasites visible and gills.. excessive,Fish,Parasitic diseases
And on parasites excessive gills.. mucus seen visible,Fish,Parasitic diseases
Fish is rubbing against objects and breathing fast.,Fish,Parasitic diseases
Breathing fish fast.. objects is rubbing against and,Fish,Parasitic diseases
Body. dots fins and cover small white the fish’s,Fish,Parasitic diseases
And small cover white dots body.. the fish’s fins,Fish,Parasitic diseases
Gills. seen visible and mucus on parasites excessive,Fish,Parasitic diseases
Breathing against is objects fish fast.. and rubbing,Fish,Parasitic diseases
Seen gills.. and parasites excessive mucus visible on,Fish,Parasitic diseases
Small and body. the white cover dots fish’s fins,Fish,Parasitic diseases
Fish is rubbing against objects and breathing fast..,Fish,Parasitic diseases
Objects against fish is and rubbing fast.. breathing,Fish,Parasitic diseases
Excessive visible seen mucus gills.. and on parasites,Fish,Parasitic diseases
And excessive mucus on gills. visible parasites seen,Fish,Parasitic diseases
Appears fish frequently. its flicks irritated and body,Fish,Parasitic diseases
Its irritated appears and frequently. flicks body fish,Fish,Parasitic diseases
Mucus seen visible gills.. parasites and excessive on,Fish,Parasitic diseases
Appears its frequently. flicks body and fish irritated,Fish,Parasitic diseases
The dots body. white small fins fish’s and cover,Fish,Parasitic diseases
Rubbing fast. breathing and is against fish objects,Fish,Parasitic diseases
Frequently.. its flicks appears irritated body and fish,Fish,Parasitic diseases
Against fast.. breathing fish and objects rubbing is,Fish,Parasitic diseases
Appears body its and frequently. irritated flicks fish,Fish,Parasitic diseases
The dots and fish’s small white cover fins body.,Fish,Parasitic diseases
Dots fish’s fins white the body.. small and cover,Fish,Parasitic diseases
Rubbing breathing fish and against objects is fast..,Fish,Parasitic diseases
Fish’s the small and body. fins white dots cover,Fish,Parasitic diseases
Fish appears frequently. body and flicks its irritated,Fish,Parasitic diseases
Visible parasites and excessive mucus seen on gills..,Fish,Parasitic diseases
Small white dots cover the fish’s fins and body..,Fish,Parasitic diseases
Cover fish’s white the small and fins dots body.,Fish,Parasitic diseases
Gills. excessive seen on mucus and visible parasites,Fish,Parasitic diseases
Mucus on excessive parasites and seen visible gills.,Fish,Parasitic diseases
Parasites and on seen gills. visible mucus excessive,Fish,Parasitic diseases
Small dots white fins cover and the body. fish’s,Fish,Parasitic diseases
Gills. on mucus visible excessive seen parasites and,Fish,Parasitic diseases
Fish flicks its body appears and irritated frequently..,Fish,Parasitic diseases
White fish’s fins body. dots cover and small the,Fish,Parasitic diseases
Dots white and cover body. fins the small fish’s,Fish,Parasitic diseases
Visible excessive gills. parasites and seen on mucus,Fish,Parasitic diseases
Fish appears irritated and flicks its body frequently..,Fish,Parasitic diseases
Visible and mucus seen on parasites gills. excessive,Fish,Parasitic diseases
Dots and fish’s small white the body. fins cover,Fish,Parasitic diseases
Visible parasites and excessive mucus seen on gills.,Fish,Parasitic diseases
Mucus seen and excessive on parasites gills.. visible,Fish,Parasitic diseases
Small white dots cover the fish’s fins and body.,Fish,Parasitic diseases
Seen gills. visible on mucus parasites and excessive,Fish,Parasitic diseases
Against breathing is and fast.. objects fish rubbing,Fish,Parasitic diseases
Fish appears irritated and flicks its body frequently.,Fish,Parasitic diseases
Weak discoloration in fish. and swimming pale behavior,Fish,Viral White disease diseases tail
The across lesions tail. soft spreading white,Fish,Viral White disease diseases tail
Tail fins turning white and beginning to fray.,Fish,Viral White disease diseases tail
In patches tail fish. white and seen rotting,Fish,Viral White disease diseases tail
Soft white lesions spreading across the tail..,Fish,Viral White disease diseases tail
Pale discoloration and weak swimming behavior in fish..,Fish,Viral White disease diseases tail
Turning white fins tail beginning and fray. to,Fish,Viral White disease diseases tail
Patches fish. and seen white section decomposing tail in,Fish,Viral White disease diseases tail
Fins fray.. and tail to beginning white turning,Fish,Viral White disease diseases tail
White patches and tail fin decay seen in fish.,Fish,Viral White disease diseases tail
White in tail fin seen fish.. decay patches and,Fish,Viral White disease diseases tail
Soft tail. white lesions across the spreading,Fish,Viral White disease diseases tail
White in and fish. patches rotting tail seen,Fish,Viral White disease diseases tail
Rotting and white tail seen in patches fish.,Fish,Viral White disease diseases tail
Tail. across white the soft spreading lesions,Fish,Viral White disease diseases tail
Patches rotting and seen fish.. white in tail,Fish,Viral White disease diseases tail
White patches and decomposing tail section seen in fish.,Fish,Viral White disease diseases tail
Soft white lesions spreading across the tail.,Fish,Viral White disease diseases tail
Fish. tail in and patches white decomposing seen section,Fish,Viral White disease diseases tail
Swimming and in fish. behavior pale weak discoloration,Fish,Viral White disease diseases tail
Discoloration swimming pale fish. weak and behavior in,Fish,Viral White disease diseases tail
Spreading white tail.. across lesions the soft,Fish,Viral White disease diseases tail
White patches and decomposing tail section seen in fish..,Fish,Viral White disease diseases tail
Seen patches rotting tail in and fish.. white,Fish,Viral White disease diseases tail
Seen rotting fish. tail white and in patches,Fish,Viral White disease diseases tail
Tail turning fins white beginning to and fray.,Fish,Viral White disease diseases tail
White patches and tail fin decay seen in fish..,Fish,Viral White disease diseases tail
Tail in rotting patches fish. and white seen,Fish,Viral White disease diseases tail
Swimming pale fish. and discoloration behavior in weak,Fish,Viral White disease diseases tail
Tail white turning fins beginning to and fray.,Fish,Viral White disease diseases tail
Beginning white and to turning tail fins fray..,Fish,Viral White disease diseases tail
White across spreading lesions soft the tail.,Fish,Viral White disease diseases tail
To beginning and white tail fray. turning fins,Fish,Viral White disease diseases tail
White spreading lesions soft across the tail.,Fish,Viral White disease diseases tail
Lesions soft the across spreading white tail.,Fish,Viral White disease diseases tail
Discoloration behavior and in fish.. pale weak swimming,Fish,Viral White disease diseases tail
Tail beginning fins fray. to and white turning,Fish,Viral White disease diseases tail
Turning beginning to tail and fins white fray.,Fish,Viral White disease diseases tail
Pale discoloration and weak swimming behavior in fish.,Fish,Viral White disease diseases tail
Patches section fish.. tail decomposing and white in seen,Fish,Viral White disease diseases tail
And white decomposing seen tail fish. in section patches,Fish,Viral White disease diseases tail
And decay fin fish. seen tail in white patches,Fish,Viral White disease diseases tail
Turning beginning white and fins tail to fray.,Fish,Viral White disease diseases tail
And fish. pale weak discoloration swimming in behavior,Fish,Viral White disease diseases tail
White patches and rotting tail seen in fish.,Fish,Viral White disease diseases tail
Beginning tail fins white to turning and fray.,Fish,Viral White disease diseases tail
Soft lesions the tail. white across spreading,Fish,Viral White disease diseases tail
Tail fins turning white and beginning to fray..,Fish,Viral White disease diseases tail
Tail fins white beginning and fray. turning to,Fish,Viral White disease diseases tail
White patches and rotting tail seen in fish..,Fish,Viral White disease diseases tail
